I,Plot,Treatment,Fresh_Yield,Dry_Yield,tSeed_Wt,FBiomass,Pod_Plant,gsw,Eapparent,VPDleaf,PhiPS2,M_S_Moisture,Shoot_D_Wt,R_Dry_Weight,Plant_Height,NDVI,MSAVI,SAVI,OSAVI,ARVI,bNDVI,VARI,ENDVI,PSRI,MSRGR,TNDGR,MSR,MCARI,TCARI,TCARI/OSAVI,RVI,DVI,ARI2,VDVI,WDRVI,TVI,RDVI
1, ,I,8,3.33,482.34,34.22222222,28,0.688767333,8.785950333,1.537405,0.614590333,18.8,0.06,0.002,81,0.809333333,0.6285,0.3925,0.699666667,0.686333333,0.830166667,0.487833333,0.735333333,-0.086,1.439,0.910833333,2.991333333,0.584166667,1.752666667,2.352833333,12.62816667,0.392166667,3.123166667,0.345833333,0.3475,25.0475,0.5605
1,2,D4,8.53,1.96,299.17,39.77777778,23,0.3714015,9.189785,1.8301875,0.5614155,11.3,0.054,0.00163,86,0.7375,0.5385,0.345333333,0.631666667,0.583666667,0.779166667,0.3285,0.668,-0.074666667,1.2575,0.847166667,2.193166667,0.332666667,0.998333333,1.526833333,7.738,0.336666667,2.375333333,0.2575,0.1645,21.38166667,0.497333333
1,3,D0,5.78,1.55,308.33,27.11111111,17,0.4785215,4.718768,2.166684,0.401109,12.1,0.084,0.002,70,0.737,0.543,0.3465,0.632,0.5865,0.779333333,0.342666667,0.6695,-0.0725,1.2755,0.851333333,2.300333333,0.350833333,1.0525,1.577666667,8.6365,0.338,2.506166667,0.262333333,0.176666667,21.449,0.498166667
1,4,D10,7.87,2.23,472.24,36.22222222,21.5,0.5039875,7.767488,1.948411,0.5511185,10,0.082,0.002,90,0.746166667,0.557,0.354333333,0.642333333,0.598666667,0.785666667,0.353666667,0.677333333,-0.072333333,1.284833333,0.855333333,2.3675,0.363833333,1.091666667,1.616,8.948,0.347166667,2.599833333,0.266666667,0.197,22.02516667,0.508
2,5,I,8.3,2.96,643.41,36.04444444,28.5,0.716919,9.312871,1.558958667,0.612779667,16.85,0.082,0.002,74,0.802833333,0.627666667,0.3925,0.696333333,0.678666667,0.827166667,0.4815,0.7325,-0.0845,1.430166667,0.907666667,2.978166667,0.5705,1.710833333,2.305833333,12.68583333,0.392166667,3.1525,0.341,0.3375,25.02216667,0.558833333
2,6,D10,9.33,2.49,491.3,38.66666667,31,0.4815875,7.898482,1.9228425,0.5780885,9.1,0.078,0.002,84,0.74,0.531833333,0.341,0.629833333,0.586666667,0.780833333,0.322833333,0.668333333,-0.072333333,1.249166667,0.844,2.2035,0.3015,0.904333333,1.395833333,7.773,0.329666667,2.392833333,0.251,0.1685,20.9035,0.492833333
2,7,D0,8.53,2.27,473,41.33333333,21,0.2941745,4.693257,1.748445,0.534872,9.4,0.015,0.002,63,0.715666667,0.505666667,0.326166667,0.606666667,0.556333333,0.7655,0.297666667,0.651666667,-0.069666667,1.228833333,0.834,2.064333333,0.282666667,0.848,1.349333333,7.1525,0.313,2.231666667,0.2405,0.123666667,19.84366667,0.472666667
2,8,D4,6.76,2,459.39,41.77777778,16.5,0.2820175,6.6324875,2.0174245,0.586828,9.2,0.024,0.0005,59,0.7255,0.5185,0.332666667,0.616333333,0.569666667,0.7725,0.317333333,0.660166667,-0.071333333,1.248833333,0.841833333,2.164833333,0.306666667,0.920166667,1.432666667,7.763666667,0.32,2.35,0.2505,0.147166667,20.30733333,0.481333333
3,9,I,5.96,3.03,331.85,25.01333333,41,0.953308667,11.13680767,1.579366,0.626683333,11.15,0.042,0.002,77,0.7965,0.611833333,0.384166667,0.689333333,0.6645,0.823333333,0.465166667,0.727333333,-0.0945,1.410833333,0.905333333,2.722666667,0.554666667,1.6635,2.34,10.61683333,0.3795,2.770833333,0.345333333,0.303666667,24.38166667,0.5485
3,10,D4,5.16,2.4,374.96,28.82222222,30.5,0.3009425,10.1135515,2.1619005,0.613187,8.6,0.05,0.002,81.5,0.751,0.560666667,0.359166667,0.648666667,0.5995,0.7885,0.384833333,0.6815,-0.093,1.316166667,0.8725,2.261333333,0.420333333,1.261666667,1.907333333,8.005,0.3525,2.275333333,0.296833333,0.1885,22.68166667,0.514
3,11,D10,5.07,2.29,279.17,28.26666667,32.5,0.70596,3.5295085,1.301627,0.644723,9.4,0.042,0.002,84,0.738166667,0.535333333,0.345,0.632333333,0.580333333,0.781166667,0.362166667,0.6725,-0.0955,1.2925,0.864666667,2.111166667,0.387333333,1.161833333,1.821,7.1295,0.335166667,2.110166667,0.289666667,0.152666667,21.60833333,0.497
3,12,D0,3.56,1.43,225,26.04444444,19,0.201766,5.5901325,2.193902,0.566779,8.2,0.02,0.0015,67,0.714666667,0.499,0.322666667,0.604333333,0.551166667,0.767166667,0.3185,0.654666667,-0.084166667,1.2515,0.8455,1.991333333,0.3285,0.985,1.599666667,6.661166667,0.308333333,2.055,0.263166667,0.1105,19.7625,0.469166667
4,13,I,2.4,1.29,395.37,19.95555556,10.5,0.692417,9.606485333,1.670110333,0.642248,11.4,0.068,0.002,77,0.779666667,0.589333333,0.373666667,0.6735,0.6385,0.810833333,0.427666667,0.709666667,-0.094,1.365833333,0.890333333,2.497,0.489333333,1.468166667,2.127166667,9.217333333,0.367666667,2.522666667,0.324333333,0.254333333,23.66266667,0.534666667
4,14,D0,0.71,0.18,310,16.22222222,23,0.11549,3.047043,2.7094215,0.4845395,7.3,0.02,0.002,55,0.711666667,0.507,0.329666667,0.607333333,0.546,0.762666667,0.3135,0.648833333,-0.0865,1.244166667,0.8435,1.942833333,0.325,0.975333333,1.589166667,6.388166667,0.318333333,1.983166667,0.259666667,0.0985,20.41766667,0.475666667
4,15,D4,1.24,0.32,323.85,21.48888889,20,0.2319865,5.1836155,2.6291425,0.492485,8.5,0.014,0.001,71,0.706833333,0.505166667,0.328333333,0.603833333,0.541,0.761166667,0.318666667,0.648333333,-0.087,1.2515,0.845833333,1.943333333,0.338,1.014,1.649833333,6.456833333,0.317333333,1.968166667,0.264166667,0.094666667,20.395,0.4735
4,16,D10,2.36,0.88,320.34,20.71111111,16,0.5659715,12.914171,2.113283,0.500783,9.3,0.044,0.001,80,0.730666667,0.525666667,0.338666667,0.623833333,0.5715,0.777666667,0.346,0.6675,-0.087833333,1.276666667,0.8565,2.095833333,0.367166667,1.1015,1.741,7.138666667,0.327,2.151333333,0.2775,0.143,20.984,0.488333333
