Obs#,Groundnut,Trt ,Rep,Sample no,gsw,VPDleaf,E_apparent,PhiPS2,VPDleaf_NOT
1,1,I,1,1,0.636132,1.705175,9.217164,0.515428,1.705175
2,2,I,1,2,0.638966,1.550534,8.409482,0.640429,1.550534
3,3,I,1,3,0.791204,1.356506,8.731205,0.687914,1.356506
4,4,D4,1,1,0.34552,1.953232,8.754716,0.516214,1.705175
5,5,D4,1,2,0.397283,1.707143,9.624854,0.606617,1.851395
6,6,D0,1,1,0.534896,1.865889,5.256406,0.403501,2.324651
7,7,D0,1,2,0.422147,2.467479,4.18113,0.398717,2.567896
8,8,D10,1,1,0.423713,2.045427,6.182617,0.531115,2.140989
9,9,D10,1,2,0.584262,1.851395,9.352359,0.571122,1.707143
10,10,I,2,1,0.724319,1.652797,9.954408,0.573802,1.652797
11,11,I,2,2,0.740485,1.3881,8.512997,0.69866,1.3881
12,12,I,2,3,0.685953,1.635979,9.471208,0.565877,1.635979
13,13,D10,2,1,0.476622,1.90721,8.132433,0.577856,1.924651
14,14,D10,2,2,0.486553,1.938475,7.664531,0.578321,1.710198
15,15,D0,2,1,0.307079,1.583251,3.80024,0.481367,2.458356
16,16,D0,2,2,0.28127,1.913639,5.586274,0.588377,2.799072
17,17,D4,2,1,0.212318,2.324651,8.147283,0.442758,1.90721
18,18,D4,2,2,0.351717,1.710198,5.117692,0.730898,1.938475
19,19,I,3,1,0.546103,1.923593,9.209092,0.601363,1.923593
20,20,I,3,2,1.074749,1.479759,12.112259,0.625215,1.479759
21,21,I,3,3,1.239074,1.334746,12.089072,0.653472,1.334746
22,22,D4,3,1,0.205851,2.404662,13.761925,0.592417,2.263503
23,23,D4,3,2,0.396034,1.919139,6.465178,0.633957,2.339751
24,24,D10,3,1,0.589455,1.263503,4.192104,0.686469,1.504662
25,25,D10,3,2,0.822465,1.339751,2.866913,0.602977,1.919139
26,26,D0,3,1,0.108973,2.171667,4.215343,0.58622,2.477356
27,27,D0,3,2,0.294559,2.216137,6.964922,0.547338,2.916137
28,28,I,4,1,0.62815,1.604647,8.65368,0.628289,1.604647
29,29,I,4,2,0.584475,1.864967,9.452934,0.623177,1.864967
30,30,I,4,3,0.864626,1.540717,10.712842,0.675278,1.540717
31,31,D0,4,1,0.047268,2.82856,2.405713,0.442909,2.467565
32,32,D0,4,2,0.183712,2.590283,3.688373,0.52617,2.590283
33,33,D4,4,1,0.121743,2.79072,3.376106,0.511627,2.570556
34,34,D4,4,2,0.34223,2.467565,6.991125,0.473343,2.65601
35,35,D10,4,1,0.458786,1.570556,10.65524,0.515293,1.79072
36,36,D10,4,2,0.673157,2.65601,15.173102,0.486273,1.467565
