id,GDVI,Fbiomass,Pod/plant,Predicted Dry Yield ,Actual Dry Yield,Absolute Error
1,0.968666667,34.22222222,28,3.161037791,3.33,0.168962209
2,0.946166667,39.77777778,23,2.461673903,1.96,0.501673903
3,0.9415,27.11111111,17,1.170747222,1.55,0.379252778
4,0.944666667,36.22222222,21.5,2.097747791,2.23,0.132252209
5,0.965,36.04444444,28.5,3.156464889,2.96,0.196464889
6,0.948166667,38.66666667,31,2.735991681,2.49,0.245991681
7,0.933833333,41.33333333,21,1.997988319,2.27,0.272011681
8,0.938333333,41.77777778,16.5,2.061702209,2,0.061702209
9,0.967166667,25.01333333,41,2.888051813,3.03,0.141948187
10,0.954,28.82222222,30.5,2.261810444,2.4,0.138189556
11,0.951833333,28.26666667,32.5,2.201320987,2.29,0.088679013
12,0.9385,26.04444444,19,1.039899889,1.43,0.390100111
13,0.9645,19.95555556,10.5,1.388020111,1.29,0.098020111
14,0.939666667,16.22222222,23,0.528187791,0.18,0.348187791
15,0.934833333,21.48888889,20,0.600965431,0.32,0.280965431
16,0.945833333,20.71111111,16,0.861819875,0.88,0.018180125
