Replication,plot,Treatment,blue,green,red,redge,nir,Thermal,L,C1,C2,DAS,MGVRI,SR,NDVI,MSAVI,SAVI,OSAVI,ARVI,EVI,GCI,SIPI,CI(rededge),NDRE,CVI,gNDVI,bNDVI,PI,VARI,ENDVI,GDVI,PSRI,MSRGR,TNDGR,MSR,MCARI,TCARI,MTCI,TCARI/OSAVI,MCARI/OSAVI,RVI,DVI,ARI,ARI2,SRPI,NPCI,VDVI,WDRVI,TVI,RDVI,NDWI
1,1,I,0.084448807,0.127766088,0.134016216,0.200036496,0.269286245,,1,6,7.5,05-Feb,-0.048,2.009,0.335,0.202,0.145,0.279,0.138,0.235,1.108,1.366,0.346,0.148,2.211,0.356,0.523,0.166,-0.035,0.403,0.603,0.023,0.976,0.69,0.582,0.077,0.231,1.049,0.829,0.276,2.009,0.135,2.828,0.761,0.63,0.227,0.078,-0.427,7.866,0.213,0.356426962
1,2,D4,0.08130388,0.121963724,0.131828636,0.187381551,0.24653247,,1,6,7.5,05-Feb,-0.078,1.87,0.303,0.174,0.125,0.247,0.109,0.201,1.021,1.44,0.316,0.136,2.185,0.338,0.504,0.166,-0.057,0.388,0.555,0.04,0.962,0.679,0.514,0.06,0.181,1.065,0.733,0.244,1.87,0.115,2.862,0.706,0.617,0.237,0.067,-0.456,6.488,0.186,0.338046221
1,3,D0,0.080050275,0.120385364,0.130641267,0.184528187,0.244138062,,1,6,7.5,05-Feb,-0.082,1.869,0.303,0.173,0.124,0.246,0.107,0.199,1.028,1.446,0.323,0.139,2.201,0.339,0.506,0.167,-0.06,0.39,0.555,0.042,0.96,0.678,0.513,0.058,0.174,1.106,0.707,0.236,1.869,0.113,2.887,0.705,0.613,0.24,0.067,-0.456,6.4,0.185,0.339491756
1,4,D10,0.080010548,0.121710375,0.130457804,0.184994102,0.245399714,,1,6,7.5,05-Feb,-0.069,1.881,0.306,0.175,0.125,0.249,0.11,0.201,1.016,1.439,0.327,0.14,2.161,0.337,0.508,0.171,-0.051,0.393,0.559,0.036,0.966,0.682,0.519,0.059,0.178,1.108,0.716,0.239,1.881,0.115,2.811,0.69,0.613,0.24,0.073,-0.453,6.547,0.187,0.336927104
2,5,I,0.095542468,0.142565131,0.150843084,0.216081947,0.284934431,,1,6,7.5,05-Feb,-0.056,1.889,0.308,0.195,0.14,0.261,0.116,0.228,0.999,1.412,0.319,0.137,2.115,0.333,0.498,0.165,-0.042,0.382,0.562,0.029,0.972,0.687,0.523,0.072,0.217,1.055,0.832,0.277,1.889,0.134,2.386,0.68,0.633,0.224,0.073,-0.452,7.714,0.203,0.333027944
2,6,D10,0.096606046,0.1437608,0.152203321,0.215512276,0.284383118,,1,6,7.5,05-Feb,-0.057,1.868,0.303,0.192,0.138,0.257,0.112,0.224,0.978,1.421,0.32,0.138,2.094,0.328,0.493,0.164,-0.042,0.378,0.555,0.03,0.972,0.687,0.513,0.069,0.208,1.088,0.809,0.27,1.868,0.132,2.316,0.659,0.635,0.223,0.072,-0.456,7.593,0.2,0.328446375
2,7,D0,0.092977315,0.137607098,0.146537244,0.20214124,0.264555782,,1,6,7.5,05-Feb,-0.063,1.805,0.287,0.174,0.125,0.24,0.099,0.204,0.923,1.454,0.309,0.134,2.047,0.316,0.48,0.164,-0.047,0.368,0.53,0.034,0.969,0.685,0.481,0.059,0.177,1.122,0.737,0.246,1.805,0.118,2.32,0.614,0.634,0.224,0.069,-0.469,6.724,0.184,0.315664847
2,8,D4,0.0899591,0.13432081,0.143282995,0.197849989,0.261627674,,1,6,7.5,05-Feb,-0.065,1.826,0.292,0.176,0.126,0.243,0.102,0.205,0.948,1.451,0.322,0.139,2.078,0.322,0.488,0.167,-0.048,0.375,0.539,0.034,0.968,0.684,0.491,0.058,0.173,1.169,0.714,0.238,1.826,0.118,2.391,0.625,0.628,0.229,0.071,-0.465,6.742,0.186,0.321523807
3,9,I,0.092913881,0.13989161,0.14666228,0.214554876,0.282108307,,1,6,7.5,05-Feb,-0.047,1.924,0.316,0.198,0.142,0.267,0.122,0.231,1.017,1.397,0.315,0.136,2.114,0.337,0.504,0.167,-0.035,0.389,0.574,0.024,0.977,0.69,0.54,0.077,0.232,0.995,0.871,0.29,1.924,0.135,2.488,0.702,0.634,0.224,0.077,-0.444,7.856,0.207,0.337006457
3,10,D4,0.093028791,0.139549315,0.147749603,0.212142736,0.277836204,,1,6,7.5,05-Feb,-0.057,1.88,0.306,0.191,0.137,0.258,0.113,0.222,0.991,1.421,0.31,0.134,2.108,0.331,0.498,0.167,-0.042,0.383,0.559,0.03,0.972,0.687,0.519,0.072,0.215,1.02,0.834,0.278,1.88,0.13,2.452,0.681,0.63,0.227,0.074,-0.453,7.477,0.199,0.331316931
