plot_no,trt,20_Jan,05_Feb,8_APR,4_March ,15_March,26_March,7_April,16_April,28_April,06_May,11_May
1,I,28.5,29.2,30.3,32.4,33.6,32.12,34.5,32.7,33.1,32.5,32.5
2,D4,27.8,28.5,23.7,23.7,25.2,24.3,23.5,24.1,21,28.8,31.8
3,D0,28.1,28.8,22.2,26.4,28.6,25.8,24.2,23.7,19,26.4,31.5
4,D10,27.5,28.2,23.3,23.2,25.5,22.5,23.6,21.7,19.5,28.9,31.6
5,I,28.3,29,31,31.1,29.4,30.12,32.4,30.8,31.3,32.2,32.4
6,D10,27.9,28.6,20.9,19.4,21.7,20.7,20.7,20.3,17.4,27.5,31.2
7,D0,28,28.7,23.8,22.8,21.4,19.4,19.2,19.3,15.6,27.2,31
8,D4,27.6,28.3,19.3,20.1,22.2,19.6,19.9,17.8,14.7,29.5,30.9
9,I,28.4,29.1,29.2,30.8,29.6,31.39,30.9,29.6,32,32.4,32.5
10,D4,27.7,28.4,18.7,22.4,18.9,17.8,18.8,16.8,14.7,26.5,30.9
11,D10,28.1,28.8,17.8,27.9,20.4,18.7,17.6,17.4,16.8,27.1,31.1
12,D0,28.2,28.9,17.4,26.6,18.8,17.8,16,17.8,15.4,25,31
13,I,27.9,28.6,29,29.7,28.6,29,29.3,28,29.5,31.5,32.2
14,D0,27.5,28.2,19.6,14.1,19.6,17.9,18.3,17,14,26.1,30.8
15,D4,28,28.7,17.8,18.2,19.3,17.5,17.8,16.8,15.6,28.2,31
16,D10,27.8,28.5,18.2,16.8,18.6,18.3,17.1,17.6,17.3,28.4,31.2
