YEAR,Day of Year,Date,Temperature (C),Rainfall (mm)
2024,16,1/16/2024,15.68,0
2024,17,1/17/2024,15.83,0
2024,18,1/18/2024,16.36,0.16
2024,19,1/19/2024,17.47,0.24
2024,20,1/20/2024,15.71,23.03
2024,21,1/21/2024,14.54,0.04
2024,22,1/22/2024,13.92,0
2024,23,1/23/2024,14.94,0
2024,24,1/24/2024,15.84,2.35
2024,25,1/25/2024,16.08,0.17
2024,26,1/26/2024,15.04,0.28
2024,27,1/27/2024,14.64,0
2024,28,1/28/2024,14.87,0
2024,29,1/29/2024,16.1,0
2024,30,1/30/2024,17.68,0
2024,31,1/31/2024,19.22,0.13
2024,32,2/1/2024,20.2,0.45
2024,33,2/2/2024,19.93,1.02
2024,34,2/3/2024,19.14,0.03
2024,35,2/4/2024,18.56,0.03
2024,36,2/5/2024,19.71,0
2024,37,2/6/2024,20.04,0
2024,38,2/7/2024,19.5,0
2024,39,2/8/2024,17.48,0
2024,40,2/9/2024,16.42,0
2024,41,2/10/2024,17.54,0
2024,42,2/11/2024,18.52,0
2024,43,2/12/2024,19.82,0
2024,44,2/13/2024,20.82,0
2024,45,2/14/2024,21.66,0
2024,46,2/15/2024,22.01,0.23
2024,47,2/16/2024,21.49,0
2024,48,2/17/2024,20.78,0.2
2024,49,2/18/2024,21.26,0
2024,50,2/19/2024,21.26,0
2024,51,2/20/2024,22.42,0
2024,52,2/21/2024,24.65,0.78
2024,53,2/22/2024,24.83,19.97
2024,54,2/23/2024,23.12,7.81
2024,55,2/24/2024,22.12,1.57
2024,56,2/25/2024,20.82,1.54
2024,57,2/26/2024,20.54,2.34
2024,58,2/27/2024,21.57,0
2024,59,2/28/2024,22.81,0
2024,60,2/29/2024,22.81,0
2024,61,3/1/2024,22.18,0
2024,62,3/2/2024,22.5,0
2024,63,3/3/2024,24,0.01
2024,64,3/4/2024,23.49,1.09
2024,65,3/5/2024,23.98,1.14
2024,66,3/6/2024,22.99,0
2024,67,3/7/2024,23.25,0
2024,68,3/8/2024,23.67,0
2024,69,3/9/2024,23.63,0
2024,70,3/10/2024,23.01,0
2024,71,3/11/2024,22.88,0
2024,72,3/12/2024,25.3,0
2024,73,3/13/2024,25.89,0
2024,74,3/14/2024,26.57,2.36
2024,75,3/15/2024,27.55,4.51
2024,76,3/16/2024,27.13,5.91
2024,77,3/17/2024,27.74,1.35
2024,78,3/18/2024,28.28,0.97
2024,79,3/19/2024,27.89,1.21
2024,80,3/20/2024,24.5,8.05
2024,81,3/21/2024,23.94,3.11
2024,82,3/22/2024,24.02,4.61
2024,83,3/23/2024,24.61,8.67
2024,84,3/24/2024,26.45,13.54
2024,85,3/25/2024,26.2,10.08
2024,86,3/26/2024,26.66,11.95
2024,87,3/27/2024,27.23,0.09
2024,88,3/28/2024,27.18,1.82
2024,89,3/29/2024,26.91,3.89
2024,90,3/30/2024,27.58,11.93
2024,91,3/31/2024,28.63,17.01
2024,92,4/1/2024,28.41,25.61
2024,93,4/2/2024,28.88,0.35
2024,94,4/3/2024,29.15,1.1
2024,95,4/4/2024,29.31,0.74
2024,96,4/5/2024,29.33,0.72
2024,97,4/6/2024,30.38,0.13
2024,98,4/7/2024,29.73,3.78
2024,99,4/8/2024,29.04,0.12
2024,100,4/9/2024,29.34,0
2024,101,4/10/2024,29.63,0
2024,102,4/11/2024,28.88,0
2024,103,4/12/2024,29.96,0
2024,104,4/13/2024,29.74,0
2024,105,4/14/2024,30.58,0
2024,106,4/15/2024,31.32,0.01
2024,107,4/16/2024,31.43,1.38
2024,108,4/17/2024,30.87,6.58
2024,109,4/18/2024,30.75,7.51
2024,110,4/19/2024,31.27,3.72
2024,111,4/20/2024,31.72,3.13
2024,112,4/21/2024,31.9,0.3
2024,113,4/22/2024,32.09,1.21
2024,114,4/23/2024,31.32,0.63
2024,115,4/24/2024,32.15,0
2024,116,4/25/2024,32.86,0.09
2024,117,4/26/2024,32.64,0.29
2024,118,4/27/2024,32.37,1.83
2024,119,4/28/2024,33.08,1.19
2024,120,4/29/2024,33.14,1.52
2024,121,4/30/2024,33.55,0.08
2024,122,5/1/2024,34.42,1.17
2024,123,5/2/2024,33.24,6.5
2024,124,5/3/2024,32.16,2.59
2024,125,5/4/2024,31.7,5.94
2024,126,5/5/2024,30.895,15.11
2024,127,5/6/2024,30,25.48
2024,128,5/7/2024,28.44,14.28
2024,129,5/8/2024,26.065,15.34
2024,130,5/9/2024,27.39,3.08
2024,131,5/10/2024,27.92,8.96
2024,132,5/11/2024,27.66,30.95
2024,133,5/12/2024,28.42,3.43
2024,134,5/13/2024,29.085,0.34
2024,135,5/14/2024,29.96,1.09
2024,136,5/15/2024,30.355,0.18
2024,137,5/16/2024,30.215,0.06
2024,138,5/17/2024,30.415,0.1
2024,139,5/18/2024,30.645,10.48
2024,140,5/19/2024,30.595,9.12
2024,141,5/20/2024,29.505,6.28
2024,142,5/21/2024,30.185,4.58
2024,143,5/22/2024,30.845,8.22
2024,144,5/23/2024,31.325,1.81
2024,145,5/24/2024,32.615,1.15
2024,146,5/25/2024,32.61,0.58
2024,147,5/26/2024,31.105,8.02
2024,148,5/27/2024,28.715,11.04
2024,149,5/28/2024,28.245,8.72
2024,150,5/29/2024,30.53,7.05
2024,151,5/30/2024,30.32,0.5
